Station;Date.Time;Air_pressure_local_hPa;Air_pressure_sea_level_hPa;Precipitation_mm;Temperature_C;Relative_humidity_Prc;Wind_average_speed_m.s.1;Wind_average_direction;Wind_maximum_instant_speed_m.s.1;Wind_maximum_instant_direction;Sunshine_hours_min
47595;01/01/2011 00:20;985.4;993.9;0;2.5;84;3.6;west-northwest;9.8;north-west;
47595;01/01/2011 00:30;985.6;994.1;0;1.8;86;3.4;west-southwest;5.8;west-southwest;
47595;01/01/2011 00:40;985.8;994.3;0;1.7;88;2.8;west-southwest;5.3;west;
47595;01/01/2011 00:50;985.8;994.3;0.5;1.5;88;2.1;west-southwest;3.9;west-southwest;
47595;01/01/2011 01:00;985.7;994.2;0;1.5;90;1.3;south-west;2.6;west;
47595;01/01/2011 01:10;985.8;994.3;0.5;1.5;90;1.2;south-southwest;2.3;south-west;
47595;01/01/2011 01:20;985.9;994.4;0;1.5;90;1.7;south-west;2.9;south-west;
47595;01/01/2011 01:30;985.9;994.4;0;1.5;90;1.5;west-southwest;3.4;west-southwest;
47595;01/01/2011 01:40;985.9;994.4;0;1.6;90;0.7;south-west;1.4;south-west;
47595;01/01/2011 01:50;986.1;994.6;0;1.7;90;1;south;2;south-west;
47595;01/01/2011 02:00;986.2;994.7;0;1.8;89;1.1;west-southwest;1.9;west-southwest;
47595;01/01/2011 02:10;986.4;994.9;0;1.8;89;1.2;west;2.4;west;
47595;01/01/2011 02:20;986.5;995;0;1.9;89;1.5;west;2.9;west-southwest;
47595;01/01/2011 02:30;986.6;995.1;0;1.9;88;1.7;west-northwest;3.6;west-northwest;
47595;01/01/2011 02:40;986.7;995.2;0;1.9;88;1.1;west-northwest;2.4;west-northwest;
47595;01/01/2011 02:50;986.8;995.3;0;2;88;1.6;west;3.3;west-southwest;
47595;01/01/2011 03:00;986.8;995.3;0;2;86;1.9;west;3.5;west-southwest;
47595;01/01/2011 03:10;986.8;995.3;0;1.9;88;1.7;west;3;west;
47595;01/01/2011 03:20;986.8;995.3;0;2;87;1.5;west;3.1;west;
47595;01/01/2011 03:30;987;995.5;--;1.9;87;0.7;south-southwest;1.7;south-southeast;
47595;01/01/2011 03:40;986.8;995.3;--;1.8;88;1;south-southeast;2.2;south;
47595;01/01/2011 03:50;987;995.5;--;1.7;88;0.5;south-southeast;1.3;south-southeast;
47595;01/01/2011 04:00;987.1;995.6;--;1.7;88;0.6;east-southheast;1.2;north-east;
47595;01/01/2011 04:10;987.3;995.8;--;1.5;89;1.3;north-east;2.3;north-east;
47595;01/01/2011 04:20;987.4;995.9;--;1.5;89;1.2;north-east;2.4;north-east;
47595;01/01/2011 04:30;987.6;996.1;--;1.4;89;0.7;south-southeast;1.5;east-southheast;
47595;01/01/2011 04:40;987.7;996.2;--;1.4;89;0.2;quiet;0.5;north;
47595;01/01/2011 04:50;987.7;996.2;--;1.1;90;0.4;west;1;south;
47595;01/01/2011 05:00;987.7;996.2;--;1.2;90;1.3;south-southeast;2.1;south-southeast;
47595;01/01/2011 05:10;987.8;996.3;--;1.2;90;1.1;south-southeast;2.2;north-east;
47595;01/01/2011 05:20;987.9;996.4;--;1.1;90;1.1;south;1.8;south-southeast;
47595;01/01/2011 05:30;988.1;996.6;--;1.2;90;0.4;south-southeast;0.9;south;
47595;01/01/2011 05:40;988.3;996.8;--;1.1;90;1.2;north-east;2.5;north-east;
47595;01/01/2011 05:50;988.4;996.9;--;1.3;89;0.9;north-east;2.2;north-east;
